isolate,Tb927.1.3230_T,Tb927.1.3230_C,Tb927.1.3230_A,Tb927.1.3230_G,Tb927.10.13980_T,Tb927.10.13980_C,Tb927.10.13980_A,Tb927.10.13980_G,Tb927.10.15300_T,Tb927.10.15300_C,Tb927.10.15300_A,Tb927.10.15300_G,Tb927.10.1820_T,Tb927.10.1820_C,Tb927.10.1820_A,Tb927.10.1820_G,Tb927.10.2810_T,Tb927.10.2810_C,Tb927.10.2810_A,Tb927.10.2810_G,Tb927.10.4720_T,Tb927.10.4720_C,Tb927.10.4720_A,Tb927.10.4720_G,Tb927.11.1940_T,Tb927.11.1940_C,Tb927.11.1940_A,Tb927.11.1940_G,Tb927.11.3980_T,Tb927.11.3980_C,Tb927.11.3980_A,Tb927.11.3980_G,Tb927.3.4350_T,Tb927.3.4350_C,Tb927.3.4350_A,Tb927.3.4350_G,Tb927.4.980_T,Tb927.4.980_C,Tb927.4.980_A,Tb927.4.980_G,Tb927.5.1220_T,Tb927.5.1220_C,Tb927.5.1220_A,Tb927.5.1220_G,Tb927.6.1100_T,Tb927.6.1100_C,Tb927.6.1100_A,Tb927.6.1100_G,Tb927.6.2630_T,Tb927.6.2630_C,Tb927.6.2630_A,Tb927.6.2630_G,Tb927.6.3660_T,Tb927.6.3660_C,Tb927.6.3660_A,Tb927.6.3660_G,Tb927.6.5000_T,Tb927.6.5000_C,Tb927.6.5000_A,Tb927.6.5000_G,Tb927.7.6560_T,Tb927.7.6560_C,Tb927.7.6560_A,Tb927.7.6560_G,Tb927.8.3480_T,Tb927.8.3480_C,Tb927.8.3480_A,Tb927.8.3480_G,Tb927.8.3810_T,Tb927.8.3810_C,Tb927.8.3810_A,Tb927.8.3810_G,Tb927.9.10660_T,Tb927.9.10660_C,Tb927.9.10660_A,Tb927.9.10660_G
AGAL-CI-78-TCH312,0.22955,0.25339,0.21225,0.30482,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.28117,0.20483,0.23919,0.27481,0.22123,0.23512,0.25694,0.28671,0.23491,0.22470,0.24605,0.29434,0.23789,0.23355,0.27404,0.25452,0.23082,0.27208,0.24565,0.25145,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25709,0.20390,0.28901,0.25000,0.22358,0.23442,0.25474,0.28726,0.25816,0.23386,0.22627,0.28170,0.20652,0.21498,0.28140,0.29710,0.23942,0.19036,0.27327,0.29695,0.21386,0.19027,0.29646,0.29941,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26550,0.21124,0.24612,0.27713
ATCC-30019,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
ATCC-30023,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
ATCC30019,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
Alfort,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23717,0.23027,0.24493,0.28762,0.25337,0.21833,0.19946,0.32884,0.26025,0.20143,0.28877,0.24955,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
American-Strain,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
AnTat-12-1S,0.22969,0.25397,0.21102,0.30532,0.26442,0.22756,0.23718,0.27083,0.22897,0.23562,0.25788,0.27754,0.27904,0.20581,0.23864,0.27652,0.22189,0.23471,0.25641,0.28698,0.23426,0.22500,0.24352,0.29722,0.23635,0.23420,0.27443,0.25503,0.23146,0.27273,0.24565,0.25016,0.23674,0.23027,0.24493,0.28806,0.25453,0.21920,0.19746,0.32880,0.25668,0.20499,0.28877,0.24955,0.22200,0.23422,0.26001,0.28377,0.25740,0.23462,0.22779,0.28018,0.20531,0.21618,0.28140,0.29710,0.24003,0.18914,0.27481,0.29601,0.21439,0.19090,0.29515,0.29956,0.24503,0.22130,0.24614,0.28753,0.20940,0.25470,0.23846,0.29744,0.26054,0.21648,0.24904,0.27395
AnTat-3-1,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23717,0.23027,0.24493,0.28762,0.25269,0.21864,0.19892,0.32975,0.26025,0.20143,0.28877,0.24955,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
AnTat-3-3,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23717,0.23027,0.24493,0.28762,0.25269,0.21864,0.19892,0.32975,0.26025,0.20143,0.28877,0.24955,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
BIM-AnTat-8-1-P8,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23870,0.18926,0.27451,0.29753,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
BoTat-1-1,0.22876,0.25630,0.21195,0.30299,0.26282,0.22917,0.23558,0.27244,0.22761,0.23686,0.25794,0.27759,0.28030,0.20581,0.23737,0.27652,0.22387,0.23176,0.25247,0.29191,0.23704,0.22315,0.24630,0.29352,0.23686,0.23326,0.27502,0.25486,0.23102,0.27220,0.24646,0.25032,0.23773,0.22954,0.24419,0.28854,0.25337,0.21923,0.19856,0.32884,0.25806,0.19892,0.29211,0.25090,0.22087,0.23645,0.25881,0.28388,0.25664,0.23538,0.22779,0.28018,0.20833,0.21201,0.28186,0.29779,0.23810,0.18963,0.27721,0.29507,0.21292,0.18943,0.29222,0.30543,0.24397,0.22094,0.24781,0.28728,0.20940,0.25470,0.23932,0.29658,0.26286,0.21333,0.25143,0.27238
Bosendja,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23127,0.27326,0.24548,0.25000,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
Canadian-Strain,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24232,0.22259,0.24781,0.28728,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
Colombia,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23717,0.23027,0.24493,0.28762,0.25269,0.21864,0.19892,0.32975,0.26025,0.20143,0.28877,0.24955,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
Dodola_943,0.22876,0.25584,0.21195,0.30345,0.26409,0.22866,0.23510,0.27214,0.22781,0.23677,0.25817,0.27725,0.28137,0.20659,0.23701,0.27503,0.22387,0.23274,0.25247,0.29093,0.23502,0.22472,0.24625,0.29401,0.23707,0.23348,0.27443,0.25503,0.23166,0.27156,0.24646,0.25032,0.23773,0.22997,0.24376,0.28854,0.25157,0.21923,0.19946,0.32974,0.25709,0.20390,0.28901,0.25000,0.22087,0.23645,0.25813,0.28455,0.25723,0.23516,0.22831,0.27930,0.20894,0.21256,0.28261,0.29589,0.24027,0.18866,0.27580,0.29526,0.21386,0.18879,0.29351,0.30383,0.24202,0.22002,0.24587,0.29208,0.20940,0.25470,0.23932,0.29658,0.26245,0.21264,0.25096,0.27395
E28,0.22876,0.25630,0.21195,0.30299,0.26282,0.22917,0.23558,0.27244,0.22761,0.23686,0.25794,0.27759,0.28030,0.20581,0.23737,0.27652,0.22387,0.23176,0.25247,0.29191,0.23704,0.22315,0.24630,0.29352,0.23686,0.23326,0.27502,0.25486,0.23102,0.27220,0.24646,0.25032,0.23773,0.22954,0.24419,0.28854,0.25337,0.21923,0.19856,0.32884,0.25806,0.19892,0.29211,0.25090,0.22087,0.23645,0.25881,0.28388,0.25664,0.23538,0.22779,0.28018,0.20833,0.21201,0.28186,0.29779,0.23810,0.18963,0.27721,0.29507,0.21292,0.18943,0.29222,0.30543,0.24397,0.22094,0.24781,0.28728,0.20940,0.25470,0.23932,0.29658,0.26286,0.21333,0.25143,0.27238
EATRO2340,0.22925,0.25363,0.21191,0.30520,0.26437,0.22496,0.23645,0.27422,0.22908,0.23574,0.25804,0.27715,0.27904,0.20581,0.23864,0.27652,0.22090,0.23483,0.25572,0.28856,0.23519,0.22500,0.24537,0.29444,0.23644,0.23355,0.27549,0.25452,0.23262,0.27290,0.24366,0.25081,0.23748,0.23014,0.24396,0.28843,0.25474,0.21861,0.19603,0.33062,0.25709,0.20390,0.28901,0.25000,0.22176,0.23493,0.25641,0.28690,0.25694,0.23611,0.22685,0.28009,0.20681,0.21411,0.28224,0.29684,0.24188,0.18974,0.27350,0.29487,0.21439,0.19090,0.29662,0.29809,0.24430,0.21981,0.24930,0.28659,0.21181,0.25434,0.23958,0.29427,0.26476,0.21333,0.24762,0.27429
EATRO3,0.22925,0.25363,0.21191,0.30520,0.26437,0.22496,0.23645,0.27422,0.22908,0.23574,0.25804,0.27715,0.27904,0.20581,0.23864,0.27652,0.22090,0.23483,0.25572,0.28856,0.23491,0.22470,0.24605,0.29434,0.23644,0.23355,0.27549,0.25452,0.23262,0.27290,0.24366,0.25081,0.23748,0.23014,0.24396,0.28843,0.25474,0.21861,0.19603,0.33062,0.25709,0.20390,0.28901,0.25000,0.22176,0.23493,0.25641,0.28690,0.25694,0.23611,0.22685,0.28009,0.20681,0.21411,0.28224,0.29684,0.24188,0.18974,0.27350,0.29487,0.21439,0.19090,0.29662,0.29809,0.24430,0.21981,0.24930,0.28659,0.21181,0.25434,0.23958,0.29427,0.26476,0.21333,0.24762,0.27429
FEO,0.22984,0.25408,0.21119,0.30490,0.26437,0.22496,0.23645,0.27422,0.22906,0.23570,0.25765,0.27759,0.27904,0.20581,0.23864,0.27652,0.22222,0.23512,0.25496,0.28770,0.23229,0.22380,0.24740,0.29651,0.23644,0.23355,0.27549,0.25452,0.23217,0.27237,0.24514,0.25032,0.23730,0.22997,0.24462,0.28811,0.25474,0.21861,0.19603,0.33062,0.25709,0.20390,0.28901,0.25000,0.22176,0.23493,0.25641,0.28690,0.25694,0.23611,0.22685,0.28009,0.20681,0.21411,0.28224,0.29684,0.24188,0.18974,0.27350,0.29487,0.21439,0.19090,0.29662,0.29809,0.24367,0.22222,0.24862,0.28548,0.20823,0.25364,0.24165,0.29649,0.26590,0.21387,0.24470,0.27553
FEO-AnTat-16-1,0.22984,0.25408,0.21119,0.30490,0.26437,0.22496,0.23645,0.27422,0.22906,0.23570,0.25765,0.27759,0.27904,0.20581,0.23864,0.27652,0.22222,0.23512,0.25496,0.28770,0.23229,0.22380,0.24740,0.29651,0.23644,0.23355,0.27549,0.25452,0.23217,0.27237,0.24514,0.25032,0.23730,0.22997,0.24462,0.28811,0.25474,0.21861,0.19603,0.33062,0.25709,0.20390,0.28901,0.25000,0.22176,0.23493,0.25641,0.28690,0.25694,0.23611,0.22685,0.28009,0.20681,0.21411,0.28224,0.29684,0.24188,0.18974,0.27350,0.29487,0.21439,0.19090,0.29662,0.29809,0.24367,0.22222,0.24862,0.28548,0.20823,0.25364,0.24165,0.29649,0.26590,0.21387,0.24470,0.27553
GMOM-ZM-83-TRPZ-317,0.22852,0.25543,0.21199,0.30406,0.25980,0.23203,0.23529,0.27288,0.22887,0.23562,0.25851,0.27700,0.27928,0.20592,0.23810,0.27671,0.22391,0.23607,0.25431,0.28571,0.23485,0.22633,0.24716,0.29167,0.23665,0.23304,0.27561,0.25469,0.23172,0.27184,0.24725,0.24919,0.23760,0.22984,0.24407,0.28849,0.25501,0.22040,0.19672,0.32787,0.25448,0.20609,0.29032,0.24910,0.22268,0.23224,0.26025,0.28484,0.25629,0.23417,0.22883,0.28070,0.20466,0.21201,0.28309,0.30025,0.24017,0.18889,0.27350,0.29744,0.21471,0.19069,0.29429,0.30030,0.24887,0.22109,0.24093,0.28912,0.20994,0.25536,0.23907,0.29563,0.26511,0.21637,0.24951,0.26901
